Date,BTC,WBTC
2020-04-12 23:59:59,6971.09159108,6969.4377939
2020-04-13 23:59:59,6845.03769683,6791.13735501
2020-04-14 23:59:59,6842.42786097,6819.50158251
2020-04-15 23:59:59,6642.10989286,6630.89173393
2020-04-16 23:59:59,7116.80421777,7137.83207911
2020-04-17 23:59:59,7096.18465879,7057.66393164
2020-04-18 23:59:59,7257.66485847,7293.49650759
2020-04-19 23:59:59,7189.42482356,7174.34670845
2020-04-20 23:59:59,6881.95869275,6884.70476866
2020-04-21 23:59:59,6880.32347375,6944.715797
2020-04-22 23:59:59,7117.20747869,7194.94532316
2020-04-23 23:59:59,7429.72464927,7474.08612851
2020-04-24 23:59:59,7550.90102725,7578.62293803
2020-04-25 23:59:59,7569.93603405,7675.39145545
2020-04-26 23:59:59,7679.86720422,7700.14999877
2020-04-27 23:59:59,7795.60083451,7791.32506706
2020-04-28 23:59:59,7807.05845106,7823.34649386
2020-04-29 23:59:59,8801.03776688,8804.73157716
2020-04-30 23:59:59,8658.55417975,8726.40543615
2020-05-01 23:59:59,8864.76680793,8869.52695634
2020-05-02 23:59:59,8988.5962069,8980.8148456
2020-05-03 23:59:59,8897.46850985,8986.19549422
2020-05-04 23:59:59,8912.65460539,8975.19392551
2020-05-05 23:59:59,9003.07017834,9054.74273947
2020-05-06 23:59:59,9268.76208066,9341.89522683
2020-05-07 23:59:59,9951.5187451,9921.69763392
2020-05-08 23:59:59,9842.66636785,9888.15792973
2020-05-09 23:59:59,9593.89673363,9627.87713
2020-05-10 23:59:59,8756.43114193,8700.93119063
2020-05-11 23:59:59,8601.79620238,8694.3992376
2020-05-12 23:59:59,8804.47781074,8740.38137836
2020-05-13 23:59:59,9269.98770576,9317.86706854
2020-05-14 23:59:59,9733.72147137,9752.21786284
2020-05-15 23:59:59,9328.19722645,9344.55516137
2020-05-16 23:59:59,9377.0140257,9397.17093185
2020-05-17 23:59:59,9670.73937122,9747.32286322
2020-05-18 23:59:59,9726.5748149,9768.22500191
2020-05-19 23:59:59,9729.0379192,9750.72068318
2020-05-20 23:59:59,9522.98115678,9568.51200136
2020-05-21 23:59:59,9081.76202252,9168.16616802
2020-05-22 23:59:59,9182.57751787,9257.61259837
2020-05-23 23:59:59,9209.28742769,9285.73998103
2020-05-24 23:59:59,8790.36800074,8813.52715197
2020-05-25 23:59:59,8906.93476142,8965.84366369
2020-05-26 23:59:59,8835.05306073,8900.75261784
2020-05-27 23:59:59,9181.01794762,9250.80541686
2020-05-28 23:59:59,9525.7510947,9583.52172305
2020-05-29 23:59:59,9439.12439045,9463.56125048
2020-05-30 23:59:59,9700.41407169,9659.76083522
2020-05-31 23:59:59,9461.05891806,9410.21275074
2020-06-01 23:59:59,10167.2681012,10051.8489304
2020-06-02 23:59:59,9529.80414872,9518.20254935
2020-06-03 23:59:59,9656.71776526,9701.04763913
2020-06-04 23:59:59,9800.63659532,9816.27790564
2020-06-05 23:59:59,9665.53278908,9715.61684185
2020-06-06 23:59:59,9653.67926335,9633.6078509
2020-06-07 23:59:59,9758.8524174,9769.50010209
2020-06-08 23:59:59,9771.48948366,9804.18008514
2020-06-09 23:59:59,9795.70019463,9758.66547706
2020-06-10 23:59:59,9870.09445278,9879.20950013
2020-06-11 23:59:59,9321.78129819,9332.59167383
2020-06-12 23:59:59,9480.84378943,9482.56728271
2020-06-13 23:59:59,9475.27733834,9478.5323641
2020-06-14 23:59:59,9386.78789214,9397.11924122
2020-06-15 23:59:59,9450.70198692,9331.7330877
2020-06-16 23:59:59,9538.0243743,9510.58907901
2020-06-17 23:59:59,9480.25536624,9436.56400868
2020-06-18 23:59:59,9411.84046197,9435.62288396
2020-06-19 23:59:59,9288.01871603,9236.41217747
2020-06-20 23:59:59,9332.340762,9359.25474766
2020-06-21 23:59:59,9303.62971409,9411.46052193
2020-06-22 23:59:59,9648.71760979,9911.5124908
2020-06-23 23:59:59,9629.65836578,9729.22495058
2020-06-24 23:59:59,9313.61034868,9345.9230224
2020-06-25 23:59:59,9264.81304308,9297.42395673
2020-06-26 23:59:59,9162.91760386,9172.90027804
2020-06-27 23:59:59,9045.39095672,9041.95017534
2020-06-28 23:59:59,9143.58219104,9145.20680829
2020-06-29 23:59:59,9190.85446467,9181.15818932
2020-06-30 23:59:59,9137.99340026,9186.48030802
